KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
529567,»ty¯koly,"18,00 %","0,00 %","0,00 %","5,00 %","0,25 %","10,75 %","3,75 %","0,25 %","0,50 %","2,75 %","0,50 %","0,00 %","11,50 %","0,00 %","0,00 %","9,75 %","22,75 %","0,00 %","0,25 %","2,75 %","0,00 %","1,00 %","0,00 %","0,00 %","9,50 %","0,75 %"
532746,DÏkanovice,"0,00 %","0,00 %","0,00 %","5,00 %","0,00 %","0,00 %","7,50 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,50 %","0,00 %","0,00 %","0,00 %","32,50 %","0,00 %","0,00 %","27,50 %","0,00 %","0,00 %","0,00 %","0,00 %","20,00 %","0,00 %"
529621,Diviöov,"6,37 %","0,00 %","0,00 %","7,35 %","0,12 %","10,53 %","9,55 %","0,36 %","0,85 %","1,71 %","0,24 %","0,12 %","9,31 %","0,00 %","0,12 %","4,77 %","31,37 %","0,00 %","0,24 %","6,00 %","0,00 %","0,49 %","0,36 %","0,00 %","9,68 %","0,36 %"
529648,DolnÌ Kralovice,"5,39 %","0,00 %","0,00 %","10,11 %","0,00 %","5,39 %","14,83 %","1,79 %","0,44 %","2,02 %","0,00 %","0,00 %","10,56 %","0,00 %","0,22 %","2,02 %","33,70 %","0,00 %","0,22 %","6,74 %","0,00 %","0,00 %","0,44 %","0,00 %","5,84 %","0,22 %"
532151,DrahÚovice,"14,03 %","0,00 %","0,00 %","1,75 %","0,00 %","3,50 %","1,75 %","1,75 %","0,00 %","1,75 %","0,00 %","0,00 %","10,52 %","0,00 %","0,00 %","5,26 %","31,57 %","0,00 %","1,75 %","8,77 %","0,00 %","1,75 %","0,00 %","0,00 %","15,78 %","0,00 %"
532843,Dunice,"13,15 %","0,00 %","0,00 %","15,78 %","0,00 %","7,89 %","7,89 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","13,15 %","0,00 %","0,00 %","2,63 %","26,31 %","0,00 %","0,00 %","10,52 %","0,00 %","0,00 %","0,00 %","0,00 %","2,63 %","0,00 %"
529702,He¯maniËky,"7,21 %","0,26 %","0,00 %","5,88 %","0,00 %","9,09 %","10,42 %","1,06 %","0,80 %","0,00 %","0,00 %","0,00 %","6,68 %","0,00 %","0,26 %","2,67 %","38,23 %","0,00 %","0,00 %","3,74 %","0,26 %","1,33 %","0,00 %","0,53 %","11,49 %","0,00 %"
532932,HradiötÏ,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,26 %","0,00 %","0,00 %","5,26 %","0,00 %","0,00 %","15,78 %","0,00 %","0,00 %","0,00 %","52,63 %","0,00 %","0,00 %","10,52 %","0,00 %","5,26 %","0,00 %","0,00 %","5,26 %","0,00 %"
529737,Hulice,"11,56 %","0,00 %","0,00 %","6,35 %","0,00 %","6,35 %","11,56 %","0,57 %","0,00 %","1,15 %","0,00 %","0,00 %","6,93 %","0,00 %","0,00 %","2,31 %","40,46 %","0,00 %","0,57 %","3,46 %","0,00 %","0,00 %","0,57 %","0,00 %","7,51 %","0,57 %"
529745,HvÏzdonice,"12,16 %","0,52 %","0,00 %","3,17 %","0,00 %","6,87 %","7,40 %","0,52 %","2,11 %","0,52 %","0,52 %","0,00 %","16,93 %","0,00 %","0,00 %","6,34 %","25,92 %","0,00 %","0,00 %","0,00 %","0,00 %","0,52 %","0,00 %","0,00 %","16,40 %","0,00 %"
